| time start | time end | open | high | low | close | volume | efficiency_ratio_10_close | market_dimension_10_low_high | fractal_dimension_10_low_high | stoch_10_low_high_close | cmf_20_low_high_close_volume |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2024-03-05 00:00:00 | 2024-03-05 06:00:00 | 3625.60 | 3740.00 | 3607.24 | 3715.80 | 274498.96 | 0.829067 | 0.124132 | 1.237564 | 0.436316 | 0.276427 |
| 2024-03-05 06:00:00 | 2024-03-05 12:00:00 | 3715.81 | 3742.00 | 3651.87 | 3731.46 | 152156.31 | 0.836282 | 0.140753 | 1.242526 | 0.472408 | 0.310596 |
| 2024-03-05 12:00:00 | 2024-03-05 18:00:00 | 3730.80 | 3822.04 | 3556.46 | 3686.51 | 447239.86 | 0.669904 | 0.152060 | 1.243918 | 0.206670 | 0.254224 |
| 2024-03-05 18:00:00 | 2024-03-06 00:00:00 | 3686.52 | 3686.52 | 3200.00 | 3553.66 | 518982.69 | 0.188386 | 0.159518 | 1.369219 | 0.068548 | 0.287144 |
| 2024-03-06 00:00:00 | 2024-03-06 06:00:00 | 3561.00 | 3770.63 | 3499.40 | 3769.44 | 255183.14 | 0.413010 | 0.193583 | 1.432007 | 0.415439 | 0.343603 |
| 2024-03-06 06:00:00 | 2024-03-06 12:00:00 | 3761.21 | 3899.47 | 3740.83 | 3879.74 | 292368.06 | 0.538110 | 0.179526 | 1.538126 | 0.471793 | 0.376866 |
| 2024-03-06 12:00:00 | 2024-03-06 18:00:00 | 3881.83 | 3900.00 | 3724.00 | 3847.06 | 295844.49 | 0.446906 | 0.190548 | 1.489792 | 0.424372 | 0.387141 |
| 2024-03-06 18:00:00 | 2024-03-07 00:00:00 | 3836.67 | 3892.58 | 3792.70 | 3818.58 | 125969.90 | 0.365194 | 0.193363 | 1.602728 | 0.383686 | 0.361860 |
| 2024-03-07 00:00:00 | 2024-03-07 06:00:00 | 3822.71 | 3852.69 | 3742.51 | 3753.98 | 137763.58 | 0.172128 | 0.190803 | 1.546872 | 0.291400 | 0.332792 |
| 2024-03-07 06:00:00 | 2024-03-07 12:00:00 | 3757.67 | 3814.92 | 3735.00 | 3787.58 | 109025.42 | 0.105730 | 0.185848 | 1.189106 | 0.339400 | 0.351725 |
| 2024-03-07 12:00:00 | 2024-03-07 18:00:00 | 3787.41 | 3872.60 | 3765.12 | 3858.61 | 158324.09 | 0.173165 | 0.181835 | 1.322703 | 0.440872 | 0.372252 |
| 2024-03-07 18:00:00 | 2024-03-08 00:00:00 | 3861.92 | 3933.81 | 3840.00 | 3868.76 | 135778.12 | 0.260554 | 0.168895 | 1.292610 | 0.411353 | 0.346929 |
| 2024-03-08 00:00:00 | 2024-03-08 06:00:00 | 3872.96 | 3940.60 | 3863.56 | 3888.07 | 99403.27 | 0.570734 | 0.138041 | 1.290179 | 0.429071 | 0.340537 |
| 2024-03-08 06:00:00 | 2024-03-08 12:00:00 | 3888.06 | 3954.98 | 3883.59 | 3950.46 | 122375.01 | 0.418505 | 0.192670 | 1.445913 | 0.490079 | 0.349462 |
| 2024-03-08 12:00:00 | 2024-03-08 18:00:00 | 3949.30 | 3993.75 | 3820.00 | 3942.38 | 303268.79 | 0.189634 | 0.361792 | 1.584980 | 0.309564 | 0.352070 |
| 2024-03-08 18:00:00 | 2024-03-09 00:00:00 | 3945.00 | 3950.85 | 3871.28 | 3883.37 | 121236.52 | 0.101809 | 0.329223 | 1.374701 | 0.090807 | 0.316509 |
| 2024-03-09 00:00:00 | 2024-03-09 06:00:00 | 3883.36 | 3931.39 | 3877.50 | 3918.40 | 58718.55 | 0.274835 | 0.295506 | 1.525914 | 0.208792 | 0.336952 |
| 2024-03-09 06:00:00 | 2024-03-09 12:00:00 | 3917.51 | 3942.00 | 3887.99 | 3912.50 | 68331.77 | 0.520592 | 0.275809 | 1.551971 | 0.185990 | 0.339239 |
| 2024-03-09 12:00:00 | 2024-03-09 18:00:00 | 3913.25 | 3927.05 | 3870.01 | 3883.07 | 78882.61 | 0.317951 | 0.252990 | 1.605648 | 0.072251 | 0.321539 |
| 2024-03-09 18:00:00 | 2024-03-10 00:00:00 | 3883.80 | 3912.68 | 3878.02 | 3905.20 | 48919.93 | 0.185300 | 0.278961 | 1.436785 | 0.112693 | 0.303978 |
| 2024-03-10 00:00:00 | 2024-03-10 06:00:00 | 3908.92 | 3950.00 | 3899.51 | 3938.83 | 76341.54 | 0.254884 | 0.365723 | 1.546338 | 0.183914 | 0.284116 |
| 2024-03-10 06:00:00 | 2024-03-10 12:00:00 | 3939.71 | 3964.67 | 3920.02 | 3932.72 | 74717.07 | 0.170609 | 0.334286 | 1.627425 | 0.148748 | 0.248187 |
| 2024-03-10 12:00:00 | 2024-03-10 18:00:00 | 3932.12 | 3947.18 | 3860.65 | 3912.03 | 115945.84 | -0.174674 | 0.340355 | 1.676878 | 0.029669 | 0.283591 |
| 2024-03-10 18:00:00 | 2024-03-11 00:00:00 | 3911.60 | 3918.00 | 3791.26 | 3878.47 | 90614.48 | -0.260337 | 0.306649 | 1.777750 | -0.069312 | 0.254713 |
| 2024-03-11 00:00:00 | 2024-03-11 06:00:00 | 3878.79 | 3888.38 | 3722.95 | 3847.98 | 129359.74 | -0.163111 | 0.235024 | 1.416231 | 0.017252 | 0.196179 |
| 2024-03-11 06:00:00 | 2024-03-11 12:00:00 | 3849.80 | 4054.60 | 3834.22 | 4034.25 | 299880.61 | 0.314631 | 0.188341 | 1.311721 | 0.438640 | 0.204999 |
| 2024-03-11 12:00:00 | 2024-03-11 18:00:00 | 4036.77 | 4065.80 | 3998.92 | 4038.66 | 187916.98 | 0.344022 | 0.182769 | 1.351738 | 0.420840 | 0.181269 |
| 2024-03-11 18:00:00 | 2024-03-12 00:00:00 | 4039.00 | 4086.23 | 4027.92 | 4064.80 | 103401.38 | 0.500041 | 0.167557 | 1.363267 | 0.441010 | 0.217845 |
| 2024-03-12 00:00:00 | 2024-03-12 06:00:00 | 4072.04 | 4093.92 | 4021.19 | 4040.01 | 107326.31 | 0.368243 | 0.166480 | 1.553311 | 0.354679 | 0.243522 |
