#{"t_start": 1720106576.3587878, "env_id": "None"}
r,l,t
-27.213686,128,4.246077
-3.918747,128,5.183728
-4.506341,128,6.258455
-3.35918,128,7.220657
1.310596,128,8.175661
-6.156938,128,9.141842
0.366366,128,10.148785
-0.24883,128,11.118255
-11.638651,128,12.1422
1.636794,128,13.098867
3.804599,128,14.285736
26.128152,128,15.58299
1.862344,128,16.608778
-0.234516,128,17.671539
-0.874525,128,18.741653
0.274002,128,19.77313
-0.607454,128,20.858372
-1.200558,128,21.876221
-2.352631,128,23.000834
-14.748354,128,24.037486
-1.30913,128,25.226352
-1.493599,128,26.233509
-1.371738,128,27.275812
-0.209599,128,28.366061
0.356144,128,29.44974
-5.90942,128,30.559976
-0.105004,128,31.622677
-0.058686,128,32.648371
-0.348856,128,33.699843
-0.034511,128,34.766194
-1.02856,128,35.822793
-9.792714,128,36.865595
-1.742789,128,37.986422
-2.152698,128,39.039164
-0.312283,128,40.06551
-1.302241,128,41.157455
-4.074911,128,42.210645
-1.211863,128,43.248587
-0.672946,128,44.367392
-1.614189,128,45.497625
-0.395135,128,46.616959
-1.222362,128,47.703839
-1.811954,128,48.804846
-1.105677,128,49.914353
-0.511148,128,51.04018
-0.113893,128,52.160044
-1.500849,128,53.288716
-0.155737,128,54.397106
-0.817752,128,55.540469
-0.060321,128,56.650456
-0.17918,128,57.736858
-0.099705,128,58.816455
-1.440377,128,59.897724
-0.089967,128,61.06934
-2.357343,128,62.169561
-0.853882,128,63.321751
0.724665,128,64.483454
-3.662732,128,65.574032
-0.80696,128,66.654504
3.495897,128,67.750596
0.0381,128,68.898206
0.243664,128,70.072069
-21.401489,128,71.258693
-1.706994,128,72.369478
-1.466226,128,73.51234
-7.416525,128,74.715513
-2.084821,128,75.827732
-13.208196,128,76.937435
0.380698,128,78.233649
-8.068733,128,79.333561
-2.076035,128,80.482403
-2.21072,128,81.555608
-5.799765,128,82.637669
-1.084696,128,83.647828
3.557489,128,84.851493
-0.439824,128,85.917563
-0.476314,128,87.04143
-0.314545,128,88.143587
-2.04411,128,89.254994
-1.52733,128,90.329937
-6.088659,128,91.54653
-1.514966,128,92.600704
-2.420596,128,93.673954
-0.777751,128,94.712104
-1.133362,128,95.818907
-0.481259,128,96.88052
-1.158023,128,98.041377
-10.661326,128,99.148766
6.635908,128,100.261798
-2.482364,128,101.411103
-5.691852,128,102.588743
-2.075505,128,103.631468
-0.344381,128,104.722727
-0.164592,128,105.81081
-0.298033,128,106.899601
-0.343573,128,108.056533
-0.541135,128,109.235965
-0.728346,128,110.294447
3.281005,128,111.367515
0.84478,128,112.434053
-3.193766,128,113.525451
-0.949571,128,114.592927
-1.490431,128,115.646028
-1.788992,128,116.712731
-19.321392,128,117.834743
-6.869329,128,118.9425
1.086489,128,120.056859
-3.608105,128,121.184556
-0.187979,128,122.348039
-1.537874,128,123.390409
-4.33442,128,124.469088
-1.034215,128,125.509344
-0.316768,128,126.605742
2.033935,128,127.6846
-1.075185,128,128.71281
-3.72867,128,129.748833
-0.94597,128,130.876387
-0.048979,128,131.968547
-0.142042,128,133.052097
0.816699,128,134.148914
-4.047658,128,135.359548
9.577796,128,136.603456
-17.52925,128,137.696022
-0.295772,128,138.814048
-0.41652,128,139.90651
-0.518235,128,140.937448
-0.273941,128,142.067545
-0.156456,128,143.140804
0.128108,128,144.294879
-3.956565,128,145.33961
0.203064,128,146.454424
-48.679898,128,147.616741
-6.460159,128,148.818134
-17.383895,128,149.97714
1.595355,128,151.116685
-0.321787,128,152.216801
-0.412639,128,153.351943
-24.453177,128,154.548737
-7.625042,128,155.865201
-28.520485,128,156.964738
-0.117843,128,158.331432
-0.122439,128,159.460266
-0.906234,128,160.641743
-0.172398,128,161.894655
-0.131289,128,163.162431
-1.127547,128,164.312037
-1.138512,128,165.45507
-2.825088,128,166.771389
-0.050578,128,167.852846
-0.193512,128,169.080899
-0.6684,128,170.370255
0.207031,128,171.716045
0.019226,128,173.009092
-1.037513,128,174.351606
-1.205038,128,175.745522
-9.324923,128,176.98063
-0.092642,128,178.133116
-0.924675,128,179.408781
0.956719,128,180.58986
2.407975,128,181.699492
5.594398,128,182.889284
-2.527895,128,184.094762
-1.343368,128,185.199007
