#{"t_start": 1720107951.6814947, "env_id": "None"}
r,l,t
-0.584341,128,3.921751
1.090492,128,4.84132
0.27972,128,5.688504
-2.650858,128,6.615458
-4.141341,128,7.751987
-0.231063,128,8.67733
-2.085548,128,9.491274
-2.377415,128,10.371022
-1.251476,128,11.268538
-0.510665,128,12.168516
-2.035582,128,13.109555
-7.287293,128,14.081529
-12.75655,128,15.052804
0.537155,128,15.987257
-3.494434,128,16.879329
-0.360357,128,17.804994
0.152339,128,18.723315
11.032619,128,19.728788
2.248927,128,20.773457
-2.298278,128,21.966098
-3.266344,128,23.076157
-0.844509,128,24.109073
-11.805329,128,25.00298
-0.656252,128,26.094608
-0.59744,128,27.068732
-0.211018,128,28.09041
10.662553,128,29.153794
-7.125086,128,30.270678
-0.670191,128,31.269144
-12.007176,128,32.335068
-0.52307,128,33.43252
0.057262,128,34.614309
-0.785456,128,35.605097
-0.356226,128,36.556113
-3.90362,128,37.638546
-2.488216,128,38.567433
-16.502542,128,39.664378
-2.002573,128,40.67711
-0.548325,128,41.697221
-1.383167,128,42.761814
-1.75475,128,43.772231
1.002118,128,44.783638
-0.109463,128,45.867161
-0.400917,128,46.910749
-0.608011,128,47.99321
2.191597,128,49.138726
-0.591182,128,50.213862
-0.094083,128,51.225146
-0.119287,128,52.349283
0.690588,128,53.493554
-0.063722,128,54.607657
-0.066866,128,55.652559
-4.920278,128,56.788008
-0.155417,128,57.920612
-0.18989,128,59.040323
-0.086951,128,60.032092
-0.381005,128,61.090467
-3.274061,128,62.170773
-1.413695,128,63.319176
4.592686,128,64.397415
0.829877,128,65.518249
0.634856,128,66.646538
1.357936,128,67.762435
-0.207724,128,68.855637
-0.2595,128,69.980159
-0.09826,128,71.041599
-0.246776,128,72.15481
-2.85833,128,73.154158
-0.283671,128,74.2326
-0.222648,128,75.332338
-0.309649,128,76.382293
-0.666422,128,77.503906
-1.994769,128,78.522765
-0.239068,128,79.714529
-0.53977,128,80.74206
-0.327285,128,81.90526
-0.392775,128,82.993323
-1.580276,128,84.169682
-1.489782,128,85.23618
0.752266,128,86.440785
-0.074864,128,87.551683
-1.50336,128,88.759254
-0.527758,128,89.941494
-1.831079,128,91.222172
-0.247172,128,92.344146
-0.183299,128,93.346052
-1.110264,128,94.433341
-0.127871,128,95.461462
-0.009258,128,96.624679
-0.790027,128,97.727036
-5.435748,128,98.93513
-3.054326,128,99.968555
2.204657,128,101.171987
-0.49783,128,102.374214
-0.324415,128,103.72603
-6.666469,128,104.852567
-23.79651,128,106.009533
-2.183261,128,107.091471
-0.504005,128,108.23111
-0.759883,128,109.246899
1.558172,128,110.496152
0.422214,128,111.500277
-1.407071,128,112.681836
-1.684203,128,113.712461
-0.254203,128,114.851398
-0.299094,128,115.963527
-0.524485,128,117.059355
-0.294024,128,118.136216
-0.06871,128,119.294638
-0.746454,128,120.469124
1.069935,128,121.65342
-0.305505,128,122.749225
-3.20076,128,123.935373
-4.593841,128,125.079576
-4.469186,128,126.227437
-1.513002,128,127.497174
-3.693819,128,128.689761
-0.081396,128,129.759382
-0.074514,128,131.108144
-2.13428,128,132.371558
-14.396684,128,133.417693
-0.115527,128,134.608702
-0.583972,128,135.750818
-29.158336,128,136.887458
-3.263938,128,137.899263
-2.862432,128,138.968721
-1.683409,128,140.022309
0.17603,128,141.116544
-0.698745,128,142.063253
-1.052576,128,143.138369
-2.578497,128,144.230965
-0.293846,128,145.388361
-10.005648,128,146.510101
-0.20641,128,147.615944
-0.063757,128,148.607303
-0.150917,128,149.650009
-1.540386,128,150.74671
-0.093897,128,151.815771
-0.121146,128,152.8306
0.022447,128,153.917845
-0.255627,128,154.935797
-0.757632,128,155.979138
-5.207254,128,157.022953
-3.957904,128,158.094809
-1.527487,128,159.171222
-2.806715,128,160.250033
-0.065869,128,161.31911
-0.421511,128,162.395747
-0.637624,128,163.514773
-0.242082,128,164.603511
-1.514885,128,165.696792
-0.912206,128,166.618653
1.377776,128,167.696357
-2.049374,128,168.72352
-3.039621,128,169.762333
-3.07355,128,170.852636
-2.830421,128,172.0213
-0.195256,128,173.064965
0.181363,128,174.111866
-0.349823,128,175.345564
-0.824118,128,176.478576
-0.049208,128,177.4458
-1.340676,128,178.54963
0.98677,128,179.70357
-0.097465,128,180.932292
-2.163451,128,182.038059
-1.265482,128,183.069118
-39.865479,128,184.1112
-0.950636,128,185.226617
-1.396104,128,186.339521
0.232274,128,187.486849
2.359253,128,188.574454
0.215548,128,189.627881
-1.733409,128,190.78731
-1.178407,128,191.978255
-5.090835,128,193.066559
-5.22106,128,194.338803
-0.146836,128,195.456617
-0.432025,128,196.586169
-0.026138,128,197.707305
-0.096159,128,198.816732
-0.087045,128,199.892581
-3.176159,128,200.982457
-0.128183,128,202.077658
-0.117089,128,203.27863
-0.412143,128,204.529321
-0.247637,128,205.736265
-1.807142,128,206.880779
-1.231606,128,208.007422
-0.226333,128,209.156702
-0.419527,128,210.286847
-4.54225,128,211.495176
-0.895312,128,212.674499
-1.910513,128,213.813849
-0.47898,128,214.906295
0.530976,128,215.996268
-2.61559,128,217.246734
-0.29176,128,218.331343
-6.5573,128,219.580479
-0.565794,128,220.693614
-0.138872,128,221.776652
1.431112,128,222.936439
-8.133763,128,224.042159
-1.237309,128,225.115935
-0.842543,128,226.154259
0.059308,128,227.285965
-0.043195,128,228.318835
-1.047545,128,229.489572
-3.053912,128,230.567966
-1.0811,128,231.66325
-1.442598,128,232.795137
-1.005553,128,233.868905
-1.758589,128,234.922768
0.163632,128,236.027186
4.280248,128,237.120694
-0.959122,128,238.437184
-1.821016,128,239.503135
-5.322355,128,240.581934
-1.556627,128,241.721632
-0.014546,128,242.845955
-1.864804,128,243.969504
2.315309,128,245.139774
-0.225515,128,246.295247
2.321258,128,247.443771
0.421735,128,248.636167
-1.345109,128,249.767842
-0.580876,128,250.850607
-3.578656,128,251.953488
0.362817,128,253.094423
-3.358333,128,254.272654
-0.986851,128,255.438756
-0.744292,128,256.663392
-0.973671,128,257.83572
-2.934489,128,258.804719
