#{"t_start": 1720019115.5536294, "env_id": "None"}
r,l,t
-0.190447,128,134.078469
-0.17352,128,134.650842
-0.14528,128,135.211401
-0.175138,128,135.733753
-0.186205,128,136.266951
-0.185565,128,136.811064
-0.142558,128,137.349943
-2.750072,128,137.926532
-0.90663,128,138.544164
-1.370353,128,139.119022
-2.276714,128,139.860879
-1.023933,128,140.536909
-0.696519,128,141.069153
-0.833321,128,141.604978
-0.929919,128,142.147995
-1.099857,128,142.675531
-0.255355,128,143.231283
-0.15007,128,143.796378
-1.219829,128,144.330891
-0.674462,128,144.830698
-0.675232,128,145.328101
-0.842241,128,145.84037
-0.375208,128,146.413685
-0.340196,128,146.931693
-0.384422,128,147.479926
-0.213103,128,148.062143
-0.337924,128,148.594268
-0.183135,128,149.112572
-0.155416,128,149.61919
-0.194042,128,150.137609
-0.196555,128,150.695334
-0.189231,128,151.231261
-0.142143,128,151.73709
-0.18817,128,152.241004
-1.036518,128,152.742764
-0.939938,128,153.232672
-0.83781,128,153.711326
-0.810987,128,154.214981
-0.91856,128,154.745168
-0.183198,128,155.253802
-0.194743,128,155.750461
-0.171111,128,156.260082
-2.169918,128,156.796075
-0.196226,128,157.289708
-0.20787,128,157.804095
-1.894554,128,158.388095
-0.908612,128,158.963722
-0.417627,128,159.483863
-1.242185,128,159.989273
-1.029958,128,160.495873
-0.198979,128,161.093582
-0.702053,128,161.591353
-0.49617,128,162.175542
-0.421655,128,162.780488
-0.702987,128,163.302176
-0.662471,128,163.809203
-0.98651,128,164.370094
-0.20237,128,164.923834
-0.533995,128,165.467203
-0.15664,128,166.016829
-0.290467,128,166.556332
-0.493199,128,167.134588
-1.25928,128,167.683625
-1.96707,128,168.195636
-2.379624,128,168.709625
-1.818932,128,169.239184
-1.576589,128,169.790651
-1.179327,128,170.316151
-2.268308,128,170.85058
-1.457025,128,171.461674
-0.342457,128,172.021755
-0.344863,128,172.538025
-0.310412,128,173.077236
-0.351448,128,173.62081
-0.23555,128,174.187321
-0.385669,128,174.704458
-0.311722,128,175.206002
-1.584662,128,175.771997
-0.96254,128,176.379836
-1.506325,128,176.936309
-1.137127,128,177.492896
-1.404654,128,178.052696
-1.380037,128,178.602665
-1.294375,128,179.170856
-1.944939,128,179.71281
-1.55256,128,180.354883
-0.290868,128,180.911811
-0.338392,128,181.453207
-0.213278,128,182.001451
-0.670767,128,182.562868
-0.206909,128,183.085886
-1.113041,128,183.650849
-1.470994,128,184.308233
-0.482019,128,184.883681
-0.820088,128,185.476731
-0.257951,128,186.000147
-0.220569,128,186.500314
-0.205299,128,187.026363
-0.239135,128,187.532923
-0.364651,128,188.068631
-0.382246,128,188.700784
-0.28596,128,189.305526
-1.057249,128,189.82542
-0.984489,128,190.349025
-0.864135,128,190.874981
-2.099415,128,191.414793
-1.519282,128,191.903505
-2.445812,128,192.399549
-0.851394,128,192.931454
-0.509737,128,193.506197
-0.226966,128,194.008989
-0.275145,128,194.53519
-0.215037,128,195.02433
-0.206432,128,195.536079
-0.836026,128,196.066855
-1.091158,128,196.568164
-1.265836,128,197.090606
-0.770524,128,197.646064
-0.659454,128,198.145988
-0.201406,128,198.67262
-0.216156,128,199.160857
-0.240729,128,199.680795
-0.206679,128,200.249479
-0.161541,128,200.811623
-0.166323,128,201.375712
-0.994746,128,201.88657
-0.36076,128,202.430197
-0.349385,128,202.963608
-0.332997,128,203.467451
-0.280463,128,203.973285
-0.31417,128,204.500404
-1.218668,128,205.010582
-0.229772,128,205.586569
-1.249774,128,206.142943
-1.105862,128,206.827774
-1.111887,128,207.377625
-0.551991,128,207.926548
-2.753519,128,208.58088
-1.041002,128,209.091784
-0.661519,128,209.626895
-0.792411,128,210.119146
-0.196365,128,210.657909
-0.173115,128,211.197133
-1.164582,128,211.759302
-0.164694,128,212.296713
-0.17634,128,212.822923
-0.322084,128,213.382193
-0.284516,128,214.02582
-1.592235,128,214.872326
-0.22586,128,215.71156
-0.861377,128,216.676876
-0.398128,128,217.622376
-0.752578,128,218.542765
-0.419874,128,219.498124
-0.409824,128,220.391957
-0.354132,128,221.309444
-0.627989,128,222.247324
-1.881324,128,223.13815
-0.135338,128,224.044667
-0.222019,128,224.988356
-0.656147,128,226.020294
-3.557057,128,227.015489
-2.212214,128,227.928154
-0.107215,128,228.893667
-0.115453,128,229.749709
-0.681747,128,230.837301
-2.167349,128,231.732588
-2.614756,128,232.752356
-0.091588,128,233.704488
-1.104339,128,234.601359
-1.059922,128,235.536944
-0.868405,128,236.471646
-0.83654,128,237.394468
-0.765887,128,238.270234
-0.212031,128,239.183903
-0.059162,128,240.181345
-0.025834,128,241.131054
-0.758003,128,242.264387
-2.668036,128,243.276438
-2.126768,128,244.273379
-2.054796,128,245.304676
-0.283615,128,246.323367
-0.906841,128,247.309258
-0.273711,128,248.296879
-0.177769,128,249.245386
-1.988225,128,250.277635
-1.050854,128,251.333615
-2.169458,128,252.404809
-0.796626,128,253.310247
-0.195403,128,254.226985
-1.822431,128,255.26499
-1.471939,128,256.168689
-1.639602,128,257.144958
-0.741009,128,258.063219
-2.876475,128,259.083685
-1.206885,128,259.991248
-0.534256,128,260.912448
-0.394931,128,261.898493
-0.247914,128,262.876045
-0.931955,128,263.823049
-1.562455,128,264.839681
-0.959672,128,265.803015
-1.780558,128,266.838638
-0.841762,128,267.811901
-1.166056,128,268.757164
-1.469182,128,269.875818
-0.99601,128,270.904282
-0.451453,128,271.9546
-1.5151,128,273.021212
-1.16628,128,274.038071
-1.580044,128,275.037363
-1.400921,128,275.987503
0.20363,128,276.998183
-0.769277,128,277.971737
-2.443596,128,279.038914
-0.390505,128,280.007519
-0.933727,128,280.984102
-1.549272,128,281.954183
-0.147182,128,282.897492
-0.197534,128,283.982401
-1.13829,128,284.916795
-1.119575,128,285.886473
-0.804806,128,286.869308
-0.636471,128,287.918823
-0.572107,128,288.896158
-1.028667,128,289.920119
-0.193338,128,290.901776
-0.890757,128,291.847344
-0.992449,128,292.703167
-0.063689,128,293.653165
-0.596169,128,294.640599
-0.431552,128,295.613709
-0.728963,128,296.60286
-0.790886,128,297.63147
-1.627405,128,298.596954
-1.114807,128,299.581782
-1.704983,128,300.569871
-0.50998,128,301.626998
-0.374865,128,302.560095
-0.129347,128,303.493102
-0.280306,128,304.453931
-0.726211,128,305.518771
-1.832442,128,306.515607
-0.494669,128,307.48926
-0.87637,128,308.445174
-0.763501,128,309.359148
-1.124425,128,310.353951
-0.243927,128,311.299153
-0.926158,128,312.301954
-1.802436,128,313.333143
-1.87315,128,314.376386
-2.701021,128,315.364353
-1.834051,128,316.322644
-0.550427,128,317.406292
-0.816632,128,318.365232
-0.142838,128,319.366579
-1.514803,128,320.344923
-0.901044,128,321.329338
-1.146703,128,322.209842
-2.148277,128,323.145207
-0.753188,128,324.433464
-1.230978,128,325.403459
-1.507967,128,326.327915
-1.292361,128,327.34561
-0.378142,128,328.3603
-0.694254,128,329.343501
-0.238308,128,330.31737
-1.129567,128,331.277673
-0.726446,128,332.276426
-0.078921,128,333.173519
-1.660192,128,334.153542
-1.087202,128,335.059844
-0.434378,128,336.092815
-0.20823,128,337.100694
-1.54699,128,338.05166
-0.415845,128,339.051721
-0.196021,128,340.022277
-2.306149,128,340.947009
-1.578063,128,341.920773
-0.660264,128,342.865637
-0.37977,128,343.919148
-0.665979,128,344.913362
-0.29148,128,345.865852
