#{"t_start": 1720028026.2019715, "env_id": "None"}
r,l,t
-2.864514,128,298.003709
-0.200857,128,298.989794
-2.319221,128,299.984438
-1.392378,128,301.030742
-1.180962,128,302.000415
-1.807551,128,302.870617
-0.344381,128,303.88283
-5.368358,128,304.898343
-0.067728,128,305.970982
-0.22078,128,307.004931
-7.474829,128,307.946285
-0.750702,128,308.987602
-4.309571,128,309.988908
-14.125275,128,311.032893
2.45719,128,312.061899
2.894586,128,313.076087
5.072271,128,314.092447
-7.049889,128,315.069706
-1.157841,128,315.995519
0.84471,128,316.97759
-5.778543,128,318.027169
-35.049696,128,319.017112
-0.030755,128,319.997523
-1.545192,128,320.994731
-2.137831,128,322.043797
-1.99804,128,323.051077
-0.005772,128,324.085133
-0.156939,128,325.245656
-0.055987,128,326.241912
-0.10888,128,327.191954
-0.198675,128,328.245989
-0.183284,128,329.256625
-0.188,128,330.193075
-2.271169,128,331.162404
0.115648,128,332.086803
-12.425953,128,333.161151
-0.629249,128,334.086135
-3.074927,128,335.099512
-1.219047,128,336.092046
-0.39527,128,337.125547
-18.013168,128,338.075226
-8.883206,128,339.019865
-2.871339,128,340.007856
-1.466117,128,340.966625
-0.275985,128,341.976887
-0.137779,128,343.032585
-56.672288,128,344.021677
-0.272909,128,345.017889
-0.259222,128,346.008381
0.099039,128,347.022145
-0.207836,128,348.030797
0.097428,128,349.032152
-13.886633,128,350.2819
-0.559882,128,351.231883
-1.172515,128,352.192178
-0.026416,128,353.230885
-5.180759,128,354.268637
-0.301615,128,355.323274
-0.635054,128,356.358648
-0.745208,128,357.317059
-2.966819,128,358.410711
-0.294666,128,359.36886
-7.591246,128,360.430736
-2.730817,128,361.483948
-0.776274,128,362.426775
-2.165875,128,363.353502
-0.054491,128,364.406291
-6.941469,128,365.350805
-9.245445,128,366.385387
-24.086518,128,367.390958
-2.334351,128,368.623754
0.501958,128,369.612869
-2.157789,128,370.656493
-4.018452,128,371.71236
-13.69411,128,372.733235
-5.369893,128,373.71633
-3.706035,128,374.75128
-8.858271,128,375.842559
-0.076102,128,376.874973
0.268341,128,377.852986
-0.424117,128,378.847148
0.4949,128,379.853316
-3.269177,128,380.911815
-6.408721,128,381.864687
-9.441747,128,382.819023
-4.552819,128,383.819064
-13.677824,128,384.768279
-0.075319,128,385.734652
-5.174206,128,386.750967
