Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1999-05-04 00:00:00-04:00,76.0,77.25,70.0,70.375,50.535945892333984,22320900,0.0,0.0
1999-05-05 00:00:00-04:00,69.875,69.875,66.25,69.125,49.63832092285156,7565700,0.0,0.0
1999-05-06 00:00:00-04:00,68.0,69.375,67.0625,67.9375,48.785579681396484,2905700,0.0,0.0
1999-05-07 00:00:00-04:00,67.9375,74.875,66.75,74.125,53.22881317138672,4862300,0.0,0.0
1999-05-10 00:00:00-04:00,73.375,73.5,70.25,70.6875,50.76034927368164,2589400,0.0,0.0
1999-05-11 00:00:00-04:00,70.0,71.1875,69.5,70.625,50.71546936035156,1839800,0.0,0.0
1999-05-12 00:00:00-04:00,71.0,74.875,69.125,73.5,52.77998733520508,2659300,0.0,0.0
1999-05-13 00:00:00-04:00,73.25,75.25,72.5,73.1875,52.555564880371094,1142900,0.0,0.0
1999-05-14 00:00:00-04:00,71.25,72.25,69.0625,70.1875,50.40129852294922,2058400,0.0,0.0
1999-05-17 00:00:00-04:00,69.125,70.25,68.0,68.625,49.27927780151367,2075000,0.0,0.0
1999-05-18 00:00:00-04:00,68.25,70.4375,68.125,68.625,49.27927780151367,1407100,0.0,0.0
1999-05-19 00:00:00-04:00,69.375,69.8125,68.75,69.3125,49.77298355102539,727400,0.0,0.0
1999-05-20 00:00:00-04:00,69.5625,70.125,68.375,68.375,49.099769592285156,520800,0.0,0.0
1999-05-21 00:00:00-04:00,68.125,68.8125,67.5,67.5,48.471435546875,936200,0.0,0.0
1999-05-24 00:00:00-04:00,67.0,67.25,65.0,65.3125,46.90058135986328,1493000,0.0,0.0
1999-05-25 00:00:00-04:00,64.125,65.9375,64.0,64.5,46.317138671875,1662400,0.0,0.0
1999-05-26 00:00:00-04:00,65.625,66.625,63.0625,66.0625,47.43915557861328,1602900,0.0,0.0
1999-05-27 00:00:00-04:00,65.0,67.75,64.6875,67.75,48.650962829589844,1220500,0.0,0.0
1999-05-28 00:00:00-04:00,67.75,68.8125,67.0,67.9375,48.785579681396484,901900,0.0,0.0
1999-06-01 00:00:00-04:00,66.625,66.625,63.5625,64.1875,46.09273147583008,953900,0.0,0.0
1999-06-02 00:00:00-04:00,63.75,64.0625,62.0,63.25,45.41952133178711,2204300,0.0,0.0
1999-06-03 00:00:00-04:00,64.0,64.1875,63.125,63.625,45.68880081176758,852600,0.0,0.0
1999-06-04 00:00:00-04:00,64.3125,67.0,64.3125,65.375,46.94548034667969,1357400,0.0,0.0
1999-06-07 00:00:00-04:00,65.1875,67.75,65.1875,65.9375,47.34940719604492,891900,0.0,0.0
1999-06-08 00:00:00-04:00,65.375,65.6875,63.75,63.75,45.778560638427734,571700,0.0,0.0
1999-06-09 00:00:00-04:00,64.25,65.5,63.625,65.5,47.035247802734375,611400,0.0,0.0
1999-06-10 00:00:00-04:00,64.875,64.9375,63.3125,63.375,45.509300231933594,664200,0.0,0.0
1999-06-11 00:00:00-04:00,63.9375,64.3125,62.3125,63.25,45.41952133178711,969300,0.0,0.0
1999-06-14 00:00:00-04:00,63.5,64.0,60.5,61.25,43.98331832885742,821100,0.0,0.0
1999-06-15 00:00:00-04:00,62.875,63.375,62.25,62.75,45.06047821044922,831700,0.0,0.0
1999-06-16 00:00:00-04:00,63.9375,65.4375,63.9375,65.25,46.855712890625,690300,0.0,0.0
1999-06-17 00:00:00-04:00,64.5,66.875,64.5,65.0,46.676170349121094,955700,0.0,0.0
1999-06-18 00:00:00-04:00,64.25,64.875,63.5,64.8125,46.54153823852539,613900,0.0,0.0
1999-06-21 00:00:00-04:00,66.6875,69.9375,66.5625,69.5,49.907615661621094,1811000,0.0,0.0
1999-06-22 00:00:00-04:00,70.125,70.125,67.75,68.0,48.830467224121094,1165900,0.0,0.0
