#{"t_start": 1720033709.134283, "env_id": "None"}
r,l,t
-3.011608,128,2.162904
-0.357939,128,3.205445
-3.03621,128,4.205147
-1.768213,128,5.227885
-3.54967,128,6.28068
-0.969583,128,7.364367
1.760571,128,8.331343
-2.706755,128,9.312588
-1.751713,128,10.344112
-0.099805,128,11.366961
-0.126305,128,12.46296
-4.681368,128,13.432901
2.191409,128,14.491485
-0.890018,128,15.504151
-1.08033,128,16.534248
10.84693,128,17.567145
-0.201199,128,18.488727
-0.022498,128,19.56658
-0.219601,128,20.541148
0.32087,128,21.509335
-0.293956,128,22.479759
-0.345768,128,23.49856
-0.6767,128,24.50914
-0.173167,128,25.50897
-1.627616,128,26.57077
-0.400944,128,27.655141
0.359761,128,28.699432
0.651186,128,29.768616
-0.550296,128,30.852348
-0.614422,128,31.854598
-1.706742,128,32.807168
-0.264886,128,33.778389
-1.459084,128,34.854337
-2.592516,128,35.868062
-0.166275,128,36.946032
-0.428138,128,37.959911
-0.528683,128,39.11292
0.382648,128,40.177783
-0.212401,128,41.17977
-0.03814,128,42.184455
-0.270802,128,43.259053
-0.380974,128,44.316746
-1.578118,128,45.359539
-0.157727,128,46.523955
0.034976,128,47.576494
-2.474971,128,48.573338
-1.666311,128,49.622996
-0.109694,128,50.639171
-0.163104,128,52.080276
0.089086,128,53.071977
-0.054703,128,54.121476
-8.448307,128,55.091387
-0.684424,128,56.178336
-0.158076,128,57.187592
0.306521,128,58.256201
-0.186169,128,59.259497
-0.362497,128,60.485833
0.086301,128,61.540677
0.295298,128,62.564055
0.229511,128,63.697396
-1.030479,128,64.706616
-0.102766,128,65.78585
-1.601877,128,66.749762
3.135141,128,67.837669
-5.291451,128,68.883034
-4.337279,128,69.880747
-1.336156,128,70.840591
-3.989282,128,71.848801
-0.036271,128,72.850042
-1.34699,128,73.931873
0.86595,128,75.053104
-4.028456,128,76.269773
-0.09866,128,77.246624
-16.920827,128,78.548213
-0.527043,128,79.56665
-0.27944,128,80.713825
-0.884781,128,81.755954
-4.485503,128,82.905472
0.330341,128,83.94987
0.377255,128,85.010987
6.622643,128,86.191415
-0.166917,128,87.260185
-3.823663,128,88.409885
-0.160839,128,89.453481
-0.324704,128,90.49724
-0.158372,128,91.568167
-0.140156,128,92.559109
0.055311,128,93.65785
0.301678,128,94.707541
-0.364119,128,95.919127
0.065126,128,96.92337
-3.776024,128,98.000379
0.091671,128,99.026407
1.614028,128,100.094101
0.487328,128,101.126123
-1.690103,128,102.13876
-2.72314,128,103.117653
-3.162539,128,104.239182
0.31,128,105.312479
-4.115543,128,106.341051
-3.612827,128,107.323
-19.656887,128,108.408061
19.063285,128,109.424933
-0.624668,128,110.373362
-0.965764,128,111.392719
-2.358941,128,112.434691
-0.157004,128,113.3759
-4.857713,128,114.337863
0.037455,128,115.342417
0.016611,128,116.342599
-0.633641,128,117.416367
-0.142554,128,118.455368
-0.107827,128,119.506696
0.240788,128,120.519003
-0.196718,128,121.673739
-0.066772,128,122.653052
-0.052492,128,123.7302
-0.246869,128,124.732713
-2.024188,128,125.929429
-0.566357,128,126.947096
-0.328816,128,127.996375
-0.495374,128,129.047874
-0.076741,128,130.053181
-0.182414,128,131.111566
-2.32482,128,132.179691
0.353597,128,133.227954
-0.199236,128,134.173934
0.228543,128,135.121011
-0.199593,128,136.132297
-5.185431,128,137.18018
-2.471792,128,138.220868
-2.001712,128,139.242265
0.055479,128,140.268754
-0.751312,128,141.380538
-1.135196,128,142.418089
0.661857,128,143.453332
-0.649757,128,144.49963
-1.925548,128,145.458932
-0.528606,128,146.456512
-0.749994,128,147.458394
-0.223378,128,148.544329
-0.148612,128,149.475748
0.073677,128,150.468773
-0.802974,128,151.517016
0.11973,128,152.582734
0.229959,128,153.560539
0.292988,128,154.672307
6.039725,128,155.787495
-0.122053,128,156.833786
0.286362,128,157.792056
-0.503348,128,158.826926
-0.814518,128,159.820356
-0.15015,128,160.910227
-0.85353,128,161.951185
-4.718787,128,162.917607
-4.794148,128,163.946611
-2.039687,128,164.962287
-0.066525,128,166.016984
-2.450147,128,167.060287
-1.802018,128,168.14333
1.754127,128,169.133668
8.777528,128,170.333647
-0.497709,128,171.255106
-0.16165,128,172.307624
-0.155997,128,173.321694
2.462152,128,174.404513
-2.095128,128,175.496547
-0.693642,128,176.518054
1.545366,128,177.566182
10.072318,128,178.593031
-12.10764,128,179.57839
-1.65865,128,180.696955
7.637268,128,181.694307
-4.83395,128,182.671458
-9.78805,128,183.731683
-0.110204,128,184.801419
-1.528931,128,185.830499
-0.109853,128,186.787942
-0.060356,128,187.749542
-0.05648,128,188.808707
-0.132593,128,189.841637
-0.467526,128,190.841237
-2.119299,128,191.948534
-1.416879,128,192.932544
3.205953,128,194.168494
-5.938237,128,195.147369
-1.845863,128,196.322694
0.097127,128,197.37499
-3.118965,128,198.352139
-0.690457,128,199.411136
7.603992,128,200.428934
0.622159,128,201.492745
-0.16247,128,202.490994
0.301374,128,203.437358
-0.123282,128,204.439363
11.137261,128,205.536178
21.335111,128,206.659612
7.587941,128,207.681115
-0.34169,128,208.743785
-0.249103,128,209.78897
-5.685987,128,210.828748
35.402854,128,212.12828
-0.814731,128,213.105984
-7.579176,128,214.181948
-2.38817,128,215.286561
-1.660226,128,216.378741
-1.405109,128,217.448803
-0.618416,128,218.521307
-0.912316,128,219.581659
0.208316,128,220.638618
-0.649147,128,221.664146
-1.00722,128,222.624458
-0.663804,128,223.596765
-1.928685,128,224.570685
-2.82637,128,225.5633
-1.425687,128,226.531641
-0.094575,128,227.56409
-3.960564,128,228.55265
-1.010386,128,229.588214
-2.233474,128,230.5885
-3.44429,128,231.627405
2.175594,128,232.676991
-11.584318,128,233.760061
-9.006602,128,234.766246
1.521123,128,235.827905
1.449861,128,236.814408
-3.064867,128,237.856129
-1.776123,128,238.858721
-12.757727,128,239.828758
-0.504199,128,240.799045
-0.126249,128,241.809279
-1.036553,128,242.809018
-3.711899,128,243.762118
-4.63062,128,244.776548
-0.161206,128,245.796804
-0.375893,128,246.806104
0.153204,128,247.829635
0.788218,128,248.859925
-0.171566,128,249.904471
0.872976,128,250.9272
-0.624236,128,251.957288
-0.845004,128,252.978912
-5.261413,128,254.258242
-1.319906,128,255.368199
-6.203214,128,256.402241
-0.883353,128,257.357443
-1.048726,128,258.434926
-0.357964,128,259.378481
-0.14507,128,260.366101
-8.833937,128,261.350983
-4.207385,128,262.424478
-0.957141,128,263.433101
-1.428346,128,264.532747
-1.83845,128,265.466348
-5.846004,128,266.505414
-1.52549,128,267.489334
-0.145821,128,268.441056
-0.625344,128,269.474991
-2.168431,128,270.45121
4.72706,128,271.487067
-8.040276,128,272.480054
-0.075642,128,273.541629
0.090026,128,274.636384
-0.485864,128,275.641958
0.320756,128,276.728621
-1.460987,128,277.723747
0.098109,128,278.661179
-0.501074,128,279.833136
0.523963,128,280.827134
-1.364707,128,281.819361
-1.914716,128,282.781133
-1.070916,128,283.76404
0.1072,128,284.813558
-0.267761,128,285.892087
-0.19821,128,286.932666
0.183685,128,287.928404
-0.376165,128,288.940937
-5.744162,128,289.887927
0.112748,128,290.994498
-0.191647,128,292.079302
0.16745,128,293.206642
-1.953362,128,294.279281
-4.104916,128,295.405497
-1.578673,128,296.471759
-1.591897,128,297.462065
-1.881316,128,298.421254
-1.534265,128,299.470824
-1.51076,128,300.441726
-2.12744,128,301.497398
-0.776786,128,302.497397
-0.750029,128,303.466513
-2.89155,128,304.471841
-3.849672,128,305.501122
0.567358,128,306.48496
0.093444,128,307.485302
-1.986508,128,308.528355
-8.440904,128,309.536673
1.147632,128,310.618577
-0.466577,128,311.610851
1.95818,128,312.671959
-10.941952,128,313.767974
-13.789368,128,314.782247
3.93047,128,315.715396
-0.124966,128,316.772478
-0.414253,128,317.810608
0.390783,128,318.897344
0.256078,128,319.921515
-0.938487,128,320.9635
-0.837248,128,321.998523
-0.045767,128,322.93713
-2.036167,128,323.921192
-0.527223,128,324.878874
-2.349591,128,325.915626
-2.240346,128,326.878618
