#{"t_start": 1720034747.5741851, "env_id": "None"}
r,l,t
-0.095851,128,2.094037
0.081516,128,3.131076
0.583776,128,4.183679
0.304359,128,5.218336
0.126207,128,6.313284
-0.286492,128,7.392181
-0.411152,128,8.425266
-0.122263,128,9.408191
0.897074,128,10.393286
2.273013,128,11.499836
2.505295,128,12.512615
-3.479903,128,13.596164
1.19701,128,14.684728
2.401269,128,15.695947
0.058616,128,16.747758
-0.076396,128,17.761052
0.69476,128,18.774359
-0.363324,128,19.777495
-2.514084,128,20.804159
-6.717154,128,21.820587
-10.646807,128,22.861182
-5.751238,128,23.943667
-77.765166,128,24.954629
-0.342825,128,26.096047
-0.128538,128,27.075933
1.451477,128,28.168428
0.797327,128,29.25143
-1.057421,128,30.375452
-0.1822,128,31.367294
-2.629849,128,32.441263
0.119688,128,33.456962
-6.26566,128,34.431017
-1.431044,128,35.483272
-0.809116,128,36.54893
-1.99811,128,37.647085
-3.383482,128,38.606826
-0.020752,128,39.772257
-8.759722,128,40.805025
-0.379695,128,41.834543
-1.544565,128,42.852377
-5.474429,128,44.040392
-7.711436,128,44.996737
-4.509408,128,46.062366
-12.549,128,47.114109
-2.209045,128,48.136473
0.770616,128,49.140908
0.332427,128,50.244748
4.738195,128,51.373492
-9.757833,128,52.479599
-10.695734,128,53.473586
-22.868742,128,54.617074
0.546695,128,55.592437
-0.018479,128,56.6139
-0.088195,128,57.643548
-1.651583,128,58.662129
3.487689,128,59.668618
-0.073188,128,60.688075
-0.242809,128,61.743104
0.57471,128,62.857491
-0.088489,128,63.977391
-1.945609,128,64.995717
-0.805349,128,66.02926
-0.28637,128,67.062794
-0.535741,128,68.095175
-6.012007,128,69.18775
-13.086348,128,70.254618
-3.160856,128,71.390815
1.204988,128,72.565276
-0.858669,128,73.625118
-0.977606,128,74.702971
-0.047034,128,75.705828
0.26177,128,76.853848
-2.201968,128,77.918074
0.527583,128,79.017602
-0.291646,128,80.03194
-1.57635,128,81.063007
0.890338,128,82.140926
-0.333954,128,83.302392
0.173308,128,84.292737
-0.058509,128,85.373585
-0.247855,128,86.476863
0.773463,128,87.631461
4.395237,128,88.652103
-0.599823,128,89.784487
-0.172453,128,90.804056
-0.451844,128,91.883835
1.002726,128,92.903833
-2.493683,128,93.944508
1.303533,128,94.936394
-16.325785,128,95.928531
-2.109279,128,96.982047
-0.83783,128,97.927894
-17.597377,128,98.980774
-0.613699,128,99.931283
-1.270966,128,100.981938
-3.662177,128,102.176481
-2.90543,128,103.182299
