#{"t_start": 1720029430.681444, "env_id": "None"}
r,l,t
-9.439599,128,2.872139
0.368926,128,3.788622
-191.064441,128,4.747877
-7.27717,128,5.640114
0.872534,128,6.52312
-2.764709,128,7.539108
0.956801,128,8.446612
-9.485173,128,9.35507
-3.467132,128,10.334955
0.131823,128,11.198267
-12.53837,128,12.352875
6.866308,128,13.485757
1.265513,128,14.498954
0.954192,128,15.492269
-0.099753,128,16.468161
-1.33682,128,17.404178
-0.501035,128,18.37614
-30.411194,128,19.299989
-0.844936,128,20.353191
8.877892,128,21.294945
0.011365,128,22.337849
-1.283368,128,23.265261
-0.472949,128,24.173573
0.11055,128,25.156071
-1.105574,128,26.130933
-3.156092,128,27.155329
-0.029768,128,28.16363
-0.340237,128,29.23878
-0.014362,128,30.187633
1.001645,128,31.167307
-1.792486,128,32.135922
1.267811,128,33.137156
-1.189924,128,34.267101
0.915226,128,35.279897
-1.220934,128,36.233754
-2.78076,128,37.185928
-3.675459,128,38.268849
0.613124,128,39.262334
-1.870132,128,40.378697
-0.461931,128,41.51351
-0.270752,128,42.584983
-0.487439,128,43.614898
-0.352332,128,44.664616
6.562469,128,45.657621
0.565471,128,46.792401
-0.258088,128,47.867105
-0.127854,128,48.894888
-0.554497,128,49.939458
-0.203246,128,51.098282
-0.054792,128,52.110968
-0.282038,128,53.088337
0.191073,128,54.14341
-1.077313,128,55.204359
-0.650195,128,56.274881
3.112935,128,57.306428
-1.777822,128,58.394083
-16.189023,128,59.620173
6.142405,128,60.802342
-1.25703,128,61.795106
-7.312144,128,62.890647
-0.633903,128,64.018037
-25.366968,128,65.167654
-25.684988,128,66.239551
1.404961,128,67.345541
-18.687399,128,68.477812
-0.90613,128,69.799404
0.374521,128,71.065642
-1.264032,128,72.284427
-0.317439,128,73.548111
1.085353,128,74.739157
-5.79216,128,75.897311
0.057587,128,77.089787
-0.811338,128,78.339251
-0.942188,128,79.536519
0.40948,128,80.812301
-7.747285,128,82.065375
3.668531,128,83.308027
-1.882235,128,84.462853
-37.24393,128,85.704833
-3.32018,128,87.029788
-15.203148,128,88.245879
5.345325,128,89.621763
-0.172255,128,90.781929
-0.046067,128,91.905597
-0.036809,128,93.274608
-0.165514,128,94.410471
-3.243467,128,95.580048
-2.071037,128,96.749841
-9.897682,128,97.95633
0.08268,128,99.07842
-0.34554,128,100.32366
0.008146,128,101.449202
-0.268984,128,102.688142
-2.971759,128,103.865105
-2.611235,128,104.993503
-12.274714,128,106.181818
-0.094255,128,107.411244
-6.104485,128,108.567464
6.179776,128,109.698535
-2.22374,128,110.929255
-1.721817,128,112.035089
0.567102,128,113.224907
-0.599858,128,114.357336
-0.009767,128,115.616996
0.232021,128,116.770854
-0.318073,128,117.975439
-4.739542,128,119.054692
-0.207422,128,120.29879
0.061675,128,121.385913
-0.229864,128,122.6551
-0.374504,128,123.823922
0.430532,128,124.954481
-1.365071,128,126.049442
-4.642834,128,127.200877
0.321377,128,128.318724
1.632083,128,129.484146
-1.133455,128,130.633073
-1.520173,128,131.83393
0.216497,128,133.086885
-1.17465,128,134.216346
0.788953,128,135.549071
0.215247,128,136.791156
0.215051,128,138.067083
-0.115295,128,139.246626
0.199862,128,140.381707
0.38459,128,141.674443
-0.245018,128,142.801524
-2.310891,128,143.85488
-0.231203,128,144.885474
-0.292702,128,145.95665
-8.58046,128,147.046696
-3.406435,128,148.066665
38.466695,128,149.247606
-5.395321,128,150.283611
-1.237806,128,151.338309
-0.106751,128,152.337821
-1.151102,128,153.380661
-2.58854,128,154.510256
1.429683,128,155.593211
-6.367367,128,156.602939
-0.260798,128,157.653504
-0.38174,128,158.627041
-0.10329,128,159.669162
-0.064771,128,160.740555
0.787307,128,161.774559
1.99254,128,162.800831
-10.16308,128,163.79047
-1.045154,128,164.822498
-0.387273,128,165.85567
0.04654,128,166.875283
-0.672461,128,167.932605
-3.054699,128,169.015454
-0.745271,128,170.018526
0.231892,128,171.122812
-0.390701,128,172.197672
1.033782,128,173.289197
0.224868,128,174.350755
-0.157676,128,175.479869
-3.66426,128,176.520896
-6.779837,128,177.606055
-2.096464,128,178.578833
-10.330496,128,179.655157
-0.829052,128,180.604439
-0.234334,128,181.648285
0.016717,128,182.610729
0.335101,128,183.663241
0.037916,128,184.778851
-0.138231,128,185.776396
-3.008102,128,186.846315
-0.764195,128,187.892757
2.39814,128,188.998957
-0.400862,128,190.093129
-0.044938,128,191.084199
0.16059,128,192.02929
-0.995739,128,193.059772
-0.256125,128,194.006872
-0.306898,128,195.112151
0.379248,128,196.093568
-0.140834,128,197.153773
-1.157688,128,198.15183
0.028733,128,199.230961
-13.840546,128,200.182171
-0.657564,128,201.183352
-15.37509,128,202.14408
0.043772,128,203.103895
0.596179,128,204.109012
-0.281263,128,205.058758
-0.210666,128,206.089426
0.114138,128,207.046657
-21.960335,128,208.052849
-63.779767,128,209.149004
5.93822,128,210.151388
-3.263936,128,211.23947
-10.15686,128,212.21732
16.486216,128,213.476448
-2.863947,128,214.500277
-23.098335,128,215.567649
-0.125324,128,216.559318
-0.649732,128,217.543073
-13.472664,128,218.538384
0.866422,128,219.56003
2.475499,128,220.761803
-0.845507,128,221.763152
-0.783127,128,222.773921
-7.132072,128,223.840764
-2.706652,128,224.750962
-0.486705,128,225.799958
-0.231932,128,226.751781
0.057603,128,227.695178
-0.117292,128,228.679049
-0.034999,128,229.724362
0.0767,128,230.71927
-0.206149,128,231.670285
-0.302361,128,232.676947
-1.447506,128,233.623647
-3.688401,128,234.688181
-7.207753,128,235.659238
3.301717,128,236.715969
-14.094087,128,237.647454
-0.806077,128,238.574936
1.799797,128,239.57662
-0.440925,128,240.588588
-0.269368,128,241.700792
8.653958,128,242.977484
-0.415402,128,244.049853
-0.434492,128,245.08993
-0.054339,128,246.125015
-0.086346,128,247.077656
-0.070478,128,248.13917
7.49664,128,249.173386
-2.927233,128,250.200572
-8.191938,128,251.155587
12.285667,128,252.208629
