#{"t_start": 1720031612.7182164, "env_id": "None"}
r,l,t
-3.146086,128,2.11042
-7.106752,128,3.110059
-3.063537,128,4.123495
-0.75399,128,5.151218
-0.143861,128,6.163181
-5.652101,128,7.231686
-7.17396,128,8.370308
0.984871,128,9.398963
-0.438085,128,10.510073
-9.234115,128,11.552779
16.423347,128,12.618866
-1.031485,128,13.573124
-1.4277,128,14.674445
9.472661,128,15.818655
-0.073903,128,16.769597
-0.179765,128,17.800434
1.92979,128,18.866725
-0.223709,128,19.889084
-0.557301,128,21.032783
-0.168457,128,22.060071
-0.173408,128,23.059259
-0.067697,128,24.141963
-0.417288,128,25.121633
-5.765811,128,26.114358
-1.41146,128,27.084835
0.065116,128,28.200903
-4.434593,128,29.246466
-38.821234,128,30.299769
-5.090775,128,31.298374
-2.865594,128,32.409606
0.276968,128,33.601208
-0.11484,128,34.628119
-0.35072,128,35.636336
-0.802301,128,36.654147
-4.078282,128,37.649809
-1.152842,128,38.66152
-0.073727,128,39.862402
-0.213277,128,40.875923
-0.117365,128,41.915831
-0.77534,128,42.977064
-2.350317,128,44.069143
5.717656,128,45.074601
-0.168397,128,46.14309
0.189046,128,47.157092
-0.761411,128,48.242903
-0.256149,128,49.24541
0.058301,128,50.431468
-4.508976,128,51.512309
4.193109,128,52.538998
-0.106747,128,53.534418
-0.058626,128,54.630736
-0.055285,128,55.670883
0.429256,128,56.83726
0.363558,128,57.830744
-3.736217,128,58.853272
-3.877072,128,59.913312
-3.478764,128,60.969061
-0.628588,128,61.968751
-7.987214,128,63.059972
-1.260543,128,64.142851
-0.05805,128,65.147501
2.451085,128,66.32313
2.547311,128,67.473775
-1.791969,128,68.534942
-0.295655,128,69.585817
-0.673827,128,70.563329
-1.856127,128,71.567268
1.941922,128,72.611536
-0.103934,128,73.602689
-0.210467,128,74.647899
-1.06367,128,75.788304
-0.427582,128,76.84075
-4.083251,128,77.842038
-0.000588,128,78.972874
-1.289189,128,80.029314
-0.055459,128,81.337049
1.571693,128,82.325898
-1.189862,128,83.494655
-0.529479,128,84.554787
-0.544034,128,85.579044
-0.513648,128,86.607854
-4.231424,128,87.622024
-0.332499,128,88.709625
-1.745215,128,89.809218
-9.811765,128,90.792782
4.485663,128,91.884379
-7.160147,128,92.929017
-3.069891,128,93.974471
-4.899736,128,94.984704
-2.55114,128,96.06473
-8.52843,128,97.06296
-2.622993,128,98.139714
1.010755,128,99.147452
-1.361514,128,100.07659
-2.605244,128,101.10016
0.283582,128,102.138324
-1.261416,128,103.151063
-0.41488,128,104.174683
-1.239636,128,105.187648
-1.817812,128,106.210881
-0.277297,128,107.205739
-0.174929,128,108.222239
-0.215724,128,109.243011
-3.017549,128,110.258495
-0.307527,128,111.311919
-0.136744,128,112.35442
-0.563436,128,113.386662
-1.139173,128,114.417542
-0.305775,128,115.567309
-8.520921,128,116.555638
0.137603,128,117.503726
-2.416507,128,118.557439
-0.768368,128,119.539829
-3.736719,128,120.598688
-0.936319,128,121.588161
-0.273193,128,122.658627
-0.168232,128,123.722925
-1.319951,128,124.708179
-4.449693,128,125.781767
0.042715,128,126.821734
-4.571354,128,127.82354
-0.14806,128,128.805977
-1.159262,128,129.825156
-1.427902,128,130.863432
-0.128745,128,131.894749
-13.559526,128,132.995268
-0.086795,128,133.998109
-1.643341,128,135.023591
-0.167239,128,136.029552
-1.125021,128,137.076387
-0.663216,128,138.092825
4.08997,128,139.192322
-6.762508,128,140.28507
-1.019734,128,141.335217
0.428205,128,142.399178
-1.221704,128,143.42413
-1.082396,128,144.646198
-7.875515,128,145.668955
-39.183889,128,146.842413
-0.186654,128,147.839581
-1.251315,128,148.943697
-0.227307,128,150.012741
-3.127784,128,151.038271
-1.564392,128,152.027822
-0.904742,128,153.032838
0.090925,128,154.006639
-1.843126,128,155.020193
-3.449384,128,156.056856
-1.778928,128,157.060016
0.177128,128,158.202463
-1.021009,128,159.375509
-0.230041,128,160.409341
-7.919156,128,161.411201
0.16348,128,162.497256
-0.285215,128,163.599675
0.087691,128,164.6928
-3.898693,128,165.733316
-5.806168,128,166.833436
-0.029933,128,167.799246
10.051277,128,168.885473
-2.453383,128,169.932151
-0.077844,128,170.971901
2.724207,128,171.981039
-4.757848,128,173.021772
0.949443,128,174.020863
-1.0062,128,175.005259
-1.0216,128,176.10055
0.949549,128,177.166178
-4.354916,128,178.301258
-3.152218,128,179.384157
-1.878893,128,180.480252
-0.222164,128,181.552395
-0.043314,128,182.553376
-1.914832,128,183.62709
-1.409449,128,184.903384
-0.02542,128,186.118486
-0.042065,128,187.271903
-1.184872,128,188.336873
-8.002059,128,189.378039
-0.041122,128,190.420978
0.412463,128,191.431428
-1.356579,128,192.463952
0.120327,128,193.398088
-0.663116,128,194.35024
-0.311449,128,195.383805
-0.114614,128,196.375324
1.05789,128,197.469675
4.343131,128,198.45284
-0.102628,128,199.45884
0.231824,128,200.429414
0.279492,128,201.502712
-0.186538,128,202.503959
-0.363839,128,203.558033
3.314519,128,204.572463
-0.422221,128,205.612557
-0.200586,128,206.554268
-1.111484,128,207.697363
0.900639,128,208.835135
-25.507341,128,209.841665
-0.428783,128,210.905268
-6.118387,128,212.023149
-9.382795,128,213.116963
4.461826,128,214.106258
-0.211191,128,215.13299
-0.187211,128,216.099357
-0.236593,128,217.153551
-1.184577,128,218.115401
-1.862755,128,219.182298
-1.511054,128,220.12379
0.278469,128,221.150394
-0.095818,128,222.113048
0.034975,128,223.171276
-6.954234,128,224.213715
-1.223663,128,225.36839
-0.749694,128,226.440823
9.008411,128,227.553886
-4.740159,128,228.537484
-2.969564,128,229.589004
0.237317,128,230.713612
-7.95326,128,231.724801
-11.310537,128,232.776917
-5.203844,128,233.795794
-2.716178,128,234.870334
-1.103797,128,235.932038
-2.850886,128,236.985768
-0.42593,128,238.097955
7.133848,128,239.23125
0.582563,128,240.274578
4.769407,128,241.457297
-1.086129,128,242.440317
-1.202003,128,243.511789
-2.107772,128,244.582478
-0.745012,128,245.598042
-9.770413,128,246.555631
-3.788362,128,247.581534
-0.609246,128,248.595857
-0.211506,128,249.641407
-1.999366,128,250.593533
-0.964257,128,251.690691
-0.139272,128,252.656473
-0.588203,128,253.702521
-0.353895,128,254.770278
-1.540739,128,255.804682
-3.958403,128,256.877315
-0.255649,128,257.825514
-1.078785,128,258.809898
-0.111047,128,259.853768
-0.723106,128,260.844707
-0.627804,128,261.908537
-5.239421,128,263.000553
0.301847,128,264.013293
-4.995498,128,265.028131
-0.227494,128,266.011116
-0.282267,128,267.036015
-0.259351,128,268.049133
-0.641504,128,269.062613
-0.267196,128,270.136332
-10.608834,128,271.155277
-2.147426,128,272.28004
1.886826,128,273.270688
-6.586288,128,274.423347
1.276987,128,275.479066
-44.760746,128,276.461985
4.25601,128,277.452546
-3.120749,128,278.478271
2.482118,128,279.385726
-0.12592,128,280.368814
-15.693014,128,281.410352
-7.033343,128,282.588694
-3.815453,128,283.589147
-5.257874,128,284.681486
11.554725,128,285.708844
0.797617,128,286.791784
-2.47801,128,287.77685
-5.970494,128,288.845932
-0.151821,128,289.849731
-0.648086,128,290.884417
-0.52308,128,291.989987
-0.222352,128,293.015279
-7.766679,128,294.14415
1.804316,128,295.172134
-2.646158,128,296.145264
25.273238,128,297.178864
-1.958226,128,298.195533
-3.463248,128,299.27471
-3.726145,128,300.30566
5.827491,128,301.276687
0.575683,128,302.370178
24.823443,128,303.577508
8.421655,128,304.711303
