#{"t_start": 1720032660.3392305, "env_id": "None"}
r,l,t
4.011558,128,2.336982
-3.561792,128,3.369535
-3.043071,128,4.443915
-0.269001,128,5.49816
-0.108402,128,6.525
1.377531,128,7.533544
-0.246573,128,8.515123
-0.063905,128,9.494769
0.321865,128,10.5364
-0.541598,128,11.656492
1.27845,128,12.839718
-0.844199,128,13.872451
0.479263,128,14.838759
-0.519997,128,15.853595
-0.839251,128,16.847211
-1.858825,128,17.881309
-0.309069,128,18.940939
-0.202207,128,19.95003
-0.204133,128,20.955355
-1.877202,128,22.010711
-0.310897,128,23.076973
0.338403,128,24.18087
-1.966282,128,25.153046
-0.22458,128,26.289464
-8.039182,128,27.351158
-0.068549,128,28.361768
-0.666606,128,29.421189
-0.101725,128,30.450096
-0.740068,128,31.476265
-0.170763,128,32.549443
-0.083812,128,33.586997
0.202453,128,34.64308
-7.616057,128,35.716688
-4.795351,128,36.688297
-10.192308,128,37.708384
1.125122,128,38.901284
5.759286,128,40.074406
-1.68373,128,41.117848
-2.077292,128,42.211845
-31.196441,128,43.195743
-2.906661,128,44.197003
-3.90173,128,45.189228
-5.534687,128,46.211886
-0.504898,128,47.16485
-1.292143,128,48.236563
-0.842305,128,49.250194
-1.974619,128,50.251853
-6.443202,128,51.2747
-3.120399,128,52.342622
-7.795636,128,53.344051
-2.514023,128,54.38773
-6.820993,128,55.408216
-6.704433,128,56.407755
-5.400733,128,57.401466
-4.419819,128,58.360667
-1.66914,128,59.375694
-2.085465,128,60.313236
-10.159629,128,61.347549
-0.586697,128,62.402203
-2.772847,128,63.447918
-1.96864,128,64.465265
-0.816215,128,65.498169
3.435915,128,66.531935
-0.974927,128,67.555629
1.320176,128,68.636926
-0.557357,128,69.670029
-0.520536,128,70.712832
-1.334763,128,71.756531
-4.739092,128,72.865156
-3.51243,128,73.80449
-10.649639,128,74.864025
0.500482,128,75.834568
-0.702279,128,76.802388
-0.797282,128,77.789673
-0.238509,128,78.800985
-1.811403,128,79.783172
-0.265888,128,80.832867
-0.338839,128,81.765856
-3.694238,128,82.715537
0.183935,128,83.673249
-3.800155,128,84.666796
-4.842221,128,85.685383
-0.142651,128,86.671226
-0.44883,128,87.734054
-1.276062,128,88.856427
-1.666475,128,89.871692
-1.140698,128,90.948548
-2.129452,128,91.969858
3.018066,128,93.028615
-0.453821,128,94.044936
0.085599,128,95.015456
-15.134475,128,96.127977
0.781143,128,97.189
-0.356335,128,98.250897
-0.051527,128,99.293211
-4.675341,128,100.326279
5.722818,128,101.325865
-3.663739,128,102.349793
0.659952,128,103.408466
-6.424498,128,104.415235
-16.946965,128,105.462402
-0.196247,128,106.444338
-5.641154,128,107.500549
-0.581829,128,108.475134
-11.877482,128,109.579007
-1.00024,128,110.622603
-1.723857,128,111.656183
-1.009886,128,112.705344
-1.787449,128,113.71365
-1.695628,128,114.721866
-1.720382,128,115.790403
-2.438907,128,116.78383
0.017032,128,117.795466
-0.103489,128,118.853263
-0.554616,128,119.895802
-3.27622,128,120.827779
-0.961116,128,121.835501
-13.632531,128,122.872993
-3.48335,128,123.907574
