episode,provider,aggregator,step,reward,total reward,open,high,low,close,volume,position delta,position,balance,initial balance,time weighted return,rate of return,sharpe ratio,sortino ratio,calmar ratio
1,ETHUSDT@Binance(k),time@60,0,0.0,0.0,3696.39990234375,3698.179931640625,3696.39990234375,3697.800048828125,293.0699996948242,0,1,9980.0,10000,0.0,0.0,0.0,0.0,0.0
1,ETHUSDT@Binance(k),time@60,1,-0.26991861937636363,-0.26991861937636363,3699.6510612792968,3706.25,3699.6510612792968,3704.820068359375,281.497196868062,-1,0,9973.008138062363,10000,-0.0007005873685006492,-0.0026940171866836407,0.0,-1.0,-2.712246893927706
1,ETHUSDT@Binance(k),time@60,2,-0.000270725856688081,-0.2701893452330517,3705.409912109375,3705.409912109375,3701.409912109375,3702.7099609375,218.0825049430132,0,0,9972.981138550644,10000,-0.0007032927303963765,-0.0026940171866836407,0.0,-1.0,-2.712246893927706
1,ETHUSDT@Binance(k),time@60,3,-2.699123778926449e-05,-0.270216336470841,3700.8592709960935,3702.7099609375,3700.050048828125,3700.590087890625,69.4295768737793,0,0,9972.97844671959,10000,-0.0007035624529468931,-0.0026940171866836407,0.0,-1.0,-2.712246893927706
1,ETHUSDT@Binance(k),time@60,4,-0.18979915030575834,-0.4600154867765993,3700.93994140625,3700.93994140625,3700.0,3700.0,77.71621704101562,-1,-1,9954.049818367539,10000,-0.002600218600446902,-0.0026940171866836407,0.0,-1.0,-2.712246893927706
1,ETHUSDT@Binance(k),time@60,5,-0.22776222948737157,-0.6877777162639709,3699.010009765625,3701.60009765625,3699.010009765625,3700.6201171875,116.20284700393677,-1,-2,9931.378252576942,10000,-0.0048719185794646735,-0.0026940171866836407,0.0,-1.0,-2.712246893927706
1,ETHUSDT@Binance(k),time@60,6,-0.20842733510707534,-0.8962050513710462,3700.60009765625,3700.949951171875,3700.60009765625,3700.93994140625,-229.48965644836426,1,-1,9910.678545545692,10000,-0.006946037520471626,0.18018691868394265,0.9566148952056098,31.182539841250296,59.80337700006847
1,ETHUSDT@Binance(k),time@60,7,-0.20337632230240654,-1.0995813736734528,3700.949951171875,3700.949951171875,3700.0,3700.909912109375,342.5831871032715,1,0,9890.522572004547,10000,-0.008965674147840774,0.35905229723951704,1.3674553379568661,50.92650711921891,79.74665647745206
1,ETHUSDT@Binance(k),time@60,8,-0.18575743813232792,-1.2853388118057807,3702.7613420410157,3704.81005859375,3702.7613420410157,3704.81005859375,179.8764613866806,1,1,9872.150190656892,10000,-0.01080659412255569,0.35905229723951704,1.3674553379568661,50.92650711921891,79.74665647745206
1,ETHUSDT@Binance(k),time@60,9,-0.24087405681396667,-1.5262128686197474,3706.239990234375,3706.239990234375,3702.570068359375,3704.800048828125,191.19233012199402,1,2,9848.37074199789,10000,-0.01318930440902899,0.35905229723951704,1.3674553379568661,50.92650711921891,79.74665647745206
1,ETHUSDT@Binance(k),time@60,10,-0.21033360886943964,-1.736546477489187,3704.0,3704.81005859375,3704.0,3704.280029296875,121.5045919418335,-2,0,9827.656308401403,10000,-0.015264898957775053,-0.017695366327828695,0.27705922220228735,0.450617923265634,0.2755594008328813
1,ETHUSDT@Binance(k),time@60,11,-0.0002021886340797252,-1.7367486661232667,3706.1330767822265,3708.1298828125,3704.06005859375,3708.1201171875,174.5658473968506,0,0,9827.636437997351,10000,-0.015266889980225185,-0.017695366327828695,0.27705922220228735,0.450617923265634,0.2755594008328813
1,ETHUSDT@Binance(k),time@60,12,-0.0002747553116688728,-1.7370234214349356,3709.610107421875,3709.610107421875,3706.22998046875,3706.909912109375,284.27601623535156,0,0,9827.609436044226,10000,-0.015269595586750673,-0.017695366327828695,0.27705922220228735,0.450617923265634,0.2755594008328813
1,ETHUSDT@Binance(k),time@60,13,-0.00010073561029777522,-1.7371241570452334,3708.199951171875,3708.199951171875,3705.840087890625,3707.2099609375,119.75579619407654,0,0,9827.599536141883,10000,-0.015270587560933357,-0.017695366327828695,0.27705922220228735,0.450617923265634,0.2755594008328813
1,ETHUSDT@Binance(k),time@60,14,-0.00044872729024758584,-1.737572884335481,3707.219970703125,3707.219970703125,3702.81005859375,3702.81005859375,172.10780692100525,0,0,9827.555437020788,10000,-0.015275006310542016,-0.017695366327828695,0.27705922220228735,0.450617923265634,0.2755594008328813
1,ETHUSDT@Binance(k),time@60,15,-0.00040905589969719713,-1.7379819402351782,3702.820068359375,3702.820068359375,3698.800048828125,3698.800048828125,207.45269298553467,0,0,9827.515236825477,10000,-0.015279034386224466,-0.017695366327828695,0.27705922220228735,0.450617923265634,0.2755594008328813
1,ETHUSDT@Binance(k),time@60,16,-6.819282387660053e-05,-1.7380501330590548,3697.919921875,3698.81005859375,3697.919921875,3698.590087890625,100.96881294250488,0,0,9827.50853516532,10000,-0.015279705895258178,-0.017695366327828695,0.27705922220228735,0.450617923265634,0.2755594008328813
1,ETHUSDT@Binance(k),time@60,17,-5.087759508137779e-05,-1.7381010106541361,3697.800048828125,3699.010009765625,3697.800048828125,3698.300048828125,88.27887153625488,0,0,9827.50353516532,10000,-0.01528020689726206,-0.017695366327828695,0.27705922220228735,0.450617923265634,0.2755594008328813
1,ETHUSDT@Binance(k),time@60,18,-5.900114736778761e-05,-1.738160011801504,3697.050048828125,3699.199951171875,3697.050048828125,3697.6298828125,138.58734321594238,0,0,9827.497736825477,10000,-0.01528078789323839,-0.017695366327828695,0.27705922220228735,0.450617923265634,0.2755594008328813
1,ETHUSDT@Binance(k),time@60,19,-6.310021167799107e-05,-1.738223112013182,3697.389892578125,3699.199951171875,3697.389892578125,3698.010009765625,130.20271110534668,0,0,9827.491535653602,10000,-0.015281409253145695,-0.017695366327828695,0.27705922220228735,0.450617923265634,0.2755594008328813
1,ETHUSDT@Binance(k),time@60,20,-0.1001955582499269,-1.838418670263109,3696.1618372802736,3698.4599609375,3694.22998046875,3694.239990234375,282.8599786758423,0,0,9827.472317183143,10000,-0.015283334951588512,-0.017695366327828695,0.27705922220228735,0.450617923265634,0.2755594008328813
1,ETHUSDT@Binance(k),time@60,21,-0.18293370429054434,-2.0213523745536532,3692.3936352539063,3694.800048828125,3690.6201171875,3690.6298828125,171.9601411819458,-1,-1,9809.494558035192,10000,-0.017084713623727876,-0.017695366327828695,0.27705922220228735,0.450617923265634,0.2755594008328813
1,ETHUSDT@Binance(k),time@60,22,-0.21201633391835228,-2.2333687084720055,3688.78466784668,3692.949951171875,3687.909912109375,3688.080078125,247.08145141601562,1,0,9788.696827297326,10000,-0.01916865457942596,-0.021590889877811513,0.23690468996592304,0.3889335644348795,0.2106541694487285
1,ETHUSDT@Binance(k),time@60,23,-0.00024212795934897002,-2.2336108364313545,3687.639892578125,3691.97998046875,3687.639892578125,3690.010009765625,235.815575838089,0,0,9788.673126125452,10000,-0.0191710294463473,-0.021590889877811513,0.23690468996592304,0.3889335644348795,0.2106541694487285
1,ETHUSDT@Binance(k),time@60,24,-0.19044759429073244,-2.424058430722087,3689.419921875,3691.080078125,3689.419921875,3690.56005859375,225.3356831073761,1,1,9770.030833643763,10000,-0.021038994624873242,-0.021590889877811513,0.23690468996592304,0.3889335644348795,0.2106541694487285
1,ETHUSDT@Binance(k),time@60,25,-0.2041848185022732,-2.62824324922436,3692.407038574219,3697.360107421875,3692.407038574219,3696.610107421875,330.2507710456848,-1,0,9750.081913918471,10000,-0.02303788437690646,-0.025448882736570887,0.20726201407652353,0.3423039600469086,0.16762639407149404
1,ETHUSDT@Binance(k),time@60,26,-0.00022666075598642976,-2.6284699099803466,3695.60009765625,3698.580078125,3695.60009765625,3697.81005859375,202.3395278453827,0,0,9750.059814309096,10000,-0.023040098766623385,-0.025448882736570887,0.20726201407652353,0.3423039600469086,0.16762639407149404
1,ETHUSDT@Binance(k),time@60,27,-0.00029639742044063055,-2.628766307400787,3698.699951171875,3698.699951171875,3695.800048828125,3695.81005859375,172.84747123718262,0,0,9750.030915383315,10000,-0.023042994450569343,-0.025448882736570887,0.20726201407652353,0.3423039600469086,0.16762639407149404
1,ETHUSDT@Binance(k),time@60,28,-0.1466978904680727,-2.77546419786886,3697.659626098633,3703.27001953125,3695.0,3703.260009765625,331.56562519073486,1,1,9735.727825710463,10000,-0.02447616976849043,-0.025448882736570887,0.20726201407652353,0.3423039600469086,0.16762639407149404
1,ETHUSDT@Binance(k),time@60,29,-0.20315151320253744,-2.9786157110713973,3705.113074707031,3709.0,3705.113074707031,3706.830078125,465.6517524719238,-1,0,9715.949547311251,10000,-0.026457961191257096,-0.028864605462722646,0.18485325472998107,0.3065154199102679,0.1377936028279306
1,ETHUSDT@Binance(k),time@60,30,-0.0008717594365714731,-2.979487470507969,3705.0,3713.469970703125,3705.0,3713.469970703125,310.1174840927124,0,0,9715.86484760422,10000,-0.02646644813584942,-0.028864605462722646,0.18485325472998107,0.3065154199102679,0.1377936028279306
1,ETHUSDT@Binance(k),time@60,31,-1.8544492352834396e-05,-2.9795060150003216,3713.429931640625,3725.0,3713.429931640625,3713.610107421875,1721.8248369693756,0,0,9715.863045846407,10000,-0.02646662867270455,-0.028864605462722646,0.18485325472998107,0.3065154199102679,0.1377936028279306
1,ETHUSDT@Binance(k),time@60,32,-0.20315431747860435,-3.182660332478926,3711.7532049560546,3716.18994140625,3711.419921875,3711.429931640625,419.6778688430786,1,1,9696.124850588461,10000,-0.02844440374865098,-0.028864605462722646,0.18485325472998107,0.3065154199102679,0.1377936028279306
1,ETHUSDT@Binance(k),time@60,33,-0.35632155720998204,-3.538981889688908,3713.286399169922,3717.22998046875,3708.639892578125,3708.639892578125,500.78953552246094,1,2,9661.57546753182,10000,-0.03190626577837452,-0.028864605462722646,0.18485325472998107,0.3065154199102679,0.1377936028279306
1,ETHUSDT@Binance(k),time@60,34,-0.20204946535204993,-3.741031355040958,3706.93994140625,3711.89990234375,3706.93994140625,3711.89990234375,240.8942165374756,-2,0,9642.054305955087,10000,-0.03386229399247598,-0.4075637132335085,-0.03431912445324605,-0.04753340200030111,-0.014312607332292037
1,ETHUSDT@Binance(k),time@60,35,-0.22445499419639914,-3.965486349237357,3710.045114868164,3711.89990234375,3707.25,3707.77001953125,157.87159180641174,1,1,9620.412233522242,10000,-0.03603083832442444,-0.4075637132335085,-0.03431912445324605,-0.04753340200030111,-0.014312607332292037
1,ETHUSDT@Binance(k),time@60,36,-0.03315805319791254,-3.9986444024352696,3707.989990234375,3707.989990234375,3702.64990234375,3704.7900390625,344.4388723373413,0,1,9617.222292115992,10000,-0.03635047173186434,-0.4075637132335085,-0.03431912445324605,-0.04753340200030111,-0.014312607332292037
1,ETHUSDT@Binance(k),time@60,37,-0.3312689456484219,-4.329913348083691,3704.800048828125,3704.800048828125,3699.010009765625,3699.010009765625,513.1376664042473,1,2,9585.363421228234,10000,-0.039542743363904176,-0.4075637132335085,-0.03431912445324605,-0.04753340200030111,-0.014312607332292037
1,ETHUSDT@Binance(k),time@60,38,-0.19892265941001686,-4.528836007493708,3698.7900390625,3702.0,3698.7900390625,3701.0400390625,206.671824157238,-1,1,9566.295961396612,10000,-0.04145331048130119,-0.5958555558051243,0.12318312336958878,0.19007945080109653,0.04332067208800416
1,ETHUSDT@Binance(k),time@60,39,-0.20632484443078303,-4.7351608519244905,3699.429931640625,3702.10009765625,3699.429931640625,3699.77001953125,42.181670904159546,-1,0,9546.558316136472,10000,-0.043431030447247054,-0.7880860983160762,-0.027548985139073705,-0.038295856781127915,-0.008490888681857805
1,ETHUSDT@Binance(k),time@60,40,-0.19711521034813106,-4.932276062272622,3699.800048828125,3699.800048828125,3698.60009765625,3699.27001953125,95.41103553771973,-1,-1,9527.740597630613,10000,-0.04531657338370587,-0.7880860983160762,-0.027548985139073705,-0.038295856781127915,-0.008490888681857805
1,ETHUSDT@Binance(k),time@60,41,-0.21252624131732345,-5.144802303589945,3697.4212170410156,3699.280029296875,3695.929931640625,3695.929931640625,116.82166469097137,-1,-2,9507.491648656003,10000,-0.0473455261867729,-0.7880860983160762,-0.027548985139073705,-0.038295856781127915,-0.008490888681857805
1,ETHUSDT@Binance(k),time@60,42,-0.18015965710470594,-5.324961960694651,3696.800048828125,3696.800048828125,3695.31005859375,3695.800048828125,108.17836606502533,1,-1,9490.362984302526,10000,-0.04906182522018743,-0.6051072032890213,0.08815295490094394,0.1315599486435779,0.027811775149740765
1,ETHUSDT@Binance(k),time@60,43,-0.22471614025720843,-5.549678100951859,3693.952648803711,3693.952648803711,3693.800048828125,3693.820068359375,-28.782569885253906,1,0,9469.036606907803,10000,-0.05119873678278497,-0.4259784669807642,0.18067361237278912,0.28349132826556517,0.057378674659107724
1,ETHUSDT@Binance(k),time@60,44,-0.22166074221547927,-5.771338843167339,3694.469970703125,3694.469970703125,3691.969970703125,3694.1298828125,432.53894424438477,1,1,9448.047470084275,10000,-0.05330185670498211,-0.4259784669807642,0.18067361237278912,0.28349132826556517,0.057378674659107724
1,ETHUSDT@Binance(k),time@60,45,-0.2089613800973722,-5.980300223264711,3693.10009765625,3696.0,3693.10009765625,3696.0,136.7761058807373,1,2,9428.304699698532,10000,-0.05528009021056757,-0.4259784669807642,0.18067361237278912,0.28349132826556517,0.057378674659107724
1,ETHUSDT@Binance(k),time@60,46,0.017980963734465227,-5.962319259530246,3694.152349975586,3696.800048828125,3693.800048828125,3695.7099609375,156.9890592098236,0,2,9429.99999974736,10000,-0.05511022046619607,-0.4259784669807642,0.18067361237278912,0.28349132826556517,0.057378674659107724
1,ETHUSDT@Binance(k),time@60,47,0.02969039965614595,-5.9326288598741,3695.0,3697.889892578125,3695.0,3696.610107421875,105.32887625694275,0,2,9432.79980443486,10000,-0.05482967891434243,-0.4259784669807642,0.18067361237278912,0.28349132826556517,0.057378674659107724
1,ETHUSDT@Binance(k),time@60,48,0.10473561595061298,-5.827893243923487,3696.39990234375,3699.5,3696.39990234375,3699.489990234375,120.96013641357422,0,2,9442.679305411424,10000,-0.053839748956771016,-0.4259784669807642,0.18067361237278912,0.28349132826556517,0.057378674659107724
1,ETHUSDT@Binance(k),time@60,49,-0.2882392453035898,-6.116132489227077,3701.3396528320313,3701.85009765625,3696.800048828125,3696.8701171875,120.30417919158936,-1,1,9415.461797845068,10000,-0.056566954123740576,-0.6120909413012222,0.2625335564035556,0.4297644762486475,0.08357188446031186
1,ETHUSDT@Binance(k),time@60,50,0.008260393033188151,-6.107872096193889,3695.0222946777344,3696.8798828125,3694.409912109375,3695.320068359375,65.9698486328125,0,1,9416.239551995459,10000,-0.05648902284614621,-0.6120909413012222,0.2625335564035556,0.4297644762486475,0.08357188446031186
1,ETHUSDT@Binance(k),time@60,51,-0.22524863619660662,-6.333120732390496,3695.800048828125,3695.800048828125,3694.60009765625,3694.800048828125,77.5530891418457,-1,0,9395.029600823584,10000,-0.05861426845455053,-0.8027873561980525,0.1461101248999453,0.2236633023606595,0.04786825961735151
1,ETHUSDT@Binance(k),time@60,52,-0.22636377952371944,-6.559484511914215,3695.050048828125,3695.050048828125,3693.0,3693.389892578125,214.9216594696045,-1,-1,9373.762656731788,10000,-0.060745224776373785,-0.8027873561980525,0.1461101248999453,0.2236633023606595,0.04786825961735151
1,ETHUSDT@Binance(k),time@60,53,-0.20056032477657748,-6.760044836690793,3694.47998046875,3694.47998046875,3693.199951171875,3694.25,82.01763153076172,-1,-2,9354.96260790366,10000,-0.0626289972040418,-0.8027873561980525,0.1461101248999453,0.2236633023606595,0.04786825961735151
