Open,High,Low,Close,Adj Close,Volume,RSI,SMA,OBV,MACD,MACD_signal,MACD_diff,Price_diff
76.0,77.25,70.0,70.375,50.535953521728516,22320900,100.0,70.375,22320900,0.0,0.0,0.0,0.0
69.875,69.875,66.25,69.125,49.63833999633789,7565700,0.0,69.75,14755200,-0.09971509971509818,-0.019943019943019637,-0.07977207977207854,-1.25
68.0,69.375,67.0625,67.9375,48.78560256958008,2905700,0.0,69.14583333333333,11849500,-0.27143245590538356,-0.07024090713549243,-0.20119154876989115,-1.1875
67.9375,74.875,66.75,74.125,53.228824615478516,4862300,73.94253486776923,70.390625,16711800,0.09071414486753326,-0.03804989673488729,0.12876404160242055,6.1875
73.375,73.5,70.25,70.6875,50.76034927368164,2589400,51.263854848739804,70.45,14122400,0.09919693299596588,-0.010600530788716655,0.10979746378468254,-3.4375
70.0,71.1875,69.5,70.625,50.71546936035156,1839800,50.957830233802014,70.47916666666667,12282600,0.09972678770633081,0.01146493291029284,0.08826185479603797,-0.0625
71.0,74.875,69.125,73.5,52.77999496459961,2659300,62.15077988280756,70.91071428571429,14941900,0.3283501577761996,0.07484197788347419,0.2535081798927254,2.875
73.25,75.25,72.5,73.1875,52.55558395385742,1142900,60.533564086258906,71.1953125,13799000,0.4788003746938898,0.15563365724555733,0.3231667174483325,-0.3125
71.25,72.25,69.0625,70.1875,50.40131378173828,2058400,47.70120139837463,71.08333333333333,11740600,0.35190182242490664,0.1948872902814272,0.15701453214347943,-3.0
69.125,70.25,68.0,68.625,49.27927780151367,2075000,42.632104351864925,70.8375,9665600,0.12382572794152225,0.1806749778134462,-0.05684924987192397,-1.5625
68.25,70.4375,68.125,68.625,49.27927780151367,1407100,42.632104351864925,70.63636363636364,11072700,-0.056277488282674426,0.1332844845942221,-0.18956197287689652,0.0
69.375,69.8125,68.75,69.3125,49.77298355102539,727400,45.58302626624155,70.52604166666667,11800100,-0.14189935297933687,0.07824771707951031,-0.22014707005884718,0.6875
69.5625,70.125,68.375,68.375,49.09974670410156,520800,42.3815595634342,70.359375,11279300,-0.2821512486478923,0.006167923934029776,-0.2883191725819221,-0.9375
68.125,68.8125,67.5,67.5,48.47142791748047,936200,39.5869608417623,70.22395833333333,10343100,-0.4586203834463731,-0.0867897375420508,-0.37183064590432235,-0.875
67.0,67.25,65.0,65.3125,46.90060043334961,1493000,33.61869609888514,70.00520833333333,8850100,-0.7661546584771202,-0.22266272172906468,-0.5434919367480555,-2.1875
64.125,65.9375,64.0,64.5,46.31712341308594,1662400,31.706617158933426,69.203125,7187700,-1.0631840231481817,-0.3907669820128881,-0.6724170411352937,-0.8125
65.625,66.625,63.0625,66.0625,47.43915939331055,1602900,38.90317669290742,68.81770833333333,8790600,-1.1591394054614454,-0.5444414667025996,-0.6146979387588458,1.5625
65.0,67.75,64.6875,67.75,48.65093231201172,1220500,45.57374981802686,68.578125,10011100,-1.0864931733084546,-0.6528518080237706,-0.433641365284684,1.6875
67.75,68.8125,67.0,67.9375,48.78560256958008,901900,46.275622095063824,68.11458333333333,10913000,-1.0022376561138628,-0.7227289776417891,-0.2795086784720737,0.1875
66.625,66.625,63.5625,64.1875,46.092716217041016,953900,36.21630509694487,67.36458333333333,9959100,-1.223949286162366,-0.8229730393459045,-0.4009762468164615,-3.75
63.75,64.0625,62.0,63.25,45.41950607299805,2204300,34.21393676195363,66.78645833333333,7754800,-1.4584931639933956,-0.9500770642754027,-0.5084160997179928,-0.9375
64.0,64.1875,63.125,63.625,45.68879318237305,852600,35.744305637319115,66.36979166666667,8607400,-1.5957170778041103,-1.0792050669811444,-0.5165120108229659,0.375
64.3125,67.0,64.3125,65.375,46.945472717285156,1357400,42.470151647531445,66.09895833333333,9964800,-1.5454427415839547,-1.1724526019017065,-0.37299013968224815,1.75
65.1875,67.75,65.1875,65.9375,47.34940719604492,891900,44.48174533871542,65.81770833333333,10856700,-1.4435703386583754,-1.2266761492530405,-0.2168941894053349,0.5625
65.375,65.6875,63.75,63.75,45.778568267822266,571700,38.79991766214794,65.43229166666667,10285000,-1.5218062584328322,-1.2857021710889989,-0.23610408734383337,-2.1875
64.25,65.5,63.625,65.5,47.03522491455078,611400,44.867159136763924,65.265625,10896400,-1.426158545909317,-1.3137934460530627,-0.1123650998562542,1.75
64.875,64.9375,63.3125,63.375,45.50927734375,664200,39.718043030842395,65.10416666666667,10232200,-1.5044840298762523,-1.3519315628177009,-0.1525524670585514,-2.125
63.9375,64.3125,62.3125,63.25,45.41950607299805,969300,39.4313733401547,65.0,9262900,-1.5586765426153022,-1.3932805587772212,-0.16539598383808096,-0.125
63.5,64.0,60.5,61.25,43.983333587646484,821100,35.06990082867716,64.59895833333333,8441800,-1.7429165278938683,-1.4632077526005507,-0.2797087752933176,-2.0
62.875,63.375,62.25,62.75,45.060482025146484,831700,40.394911926594396,64.18229166666667,9273500,-1.7477436784352562,-1.5201149377674918,-0.2276287406677644,1.5
63.9375,65.4375,63.9375,65.25,46.855716705322266,690300,48.04298573058637,63.958333333333336,9963800,-1.532178127680666,-1.5225275757501269,-0.009650551930539208,2.5
64.5,66.875,64.5,65.0,46.67618179321289,955700,47.38816367415014,64.02604166666667,9008100,-1.3657700394520873,-1.491176068490519,0.1254060290384318,-0.25
64.25,64.875,63.5,64.8125,46.54155349731445,613900,46.87215831953283,64.15625,8394200,-1.2347862661738276,-1.4398981080271809,0.2051118418533533,-0.1875
