| time start | time end | open | high | low | close | volume | zscore(64)_1_open | zscore(64)_1_high | zscore(64)_1_low | zscore(64)_1_close |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2024-03-05 00:00:00 | 2024-03-05 06:00:00 | 3629.00 | 3740.00 | 3607.24 | 3715.80 | 274832.31 | 2.791928 | 2.817738 | 2.865362 | 2.870977 |
| 2024-03-05 06:00:00 | 2024-03-05 12:00:00 | 3715.81 | 3742.00 | 3651.87 | 3731.46 | 152210.39 | 2.868615 | 2.293885 | 2.648296 | 2.407470 |
| 2024-03-05 12:00:00 | 2024-03-05 18:00:00 | 3735.00 | 3822.04 | 3556.46 | 3686.51 | 447418.35 | 2.450376 | 2.446182 | 1.367997 | 1.750744 |
| 2024-03-05 18:00:00 | 2024-03-06 00:00:00 | 3676.01 | 3686.52 | 3200.00 | 3553.66 | 518750.11 | 1.700927 | 1.246494 | -2.348156 | 0.535596 |
| 2024-03-06 00:00:00 | 2024-03-06 06:00:00 | 3561.00 | 3770.63 | 3499.40 | 3769.44 | 255183.14 | 0.655264 | 1.731809 | 0.695180 | 2.151820 |
| 2024-03-06 06:00:00 | 2024-03-06 12:00:00 | 3761.21 | 3899.47 | 3740.83 | 3879.74 | 292368.06 | 2.127716 | 2.294678 | 2.582888 | 2.504383 |
| 2024-03-06 12:00:00 | 2024-03-06 18:00:00 | 3881.83 | 3900.00 | 3724.00 | 3847.06 | 295826.64 | 2.553613 | 2.027005 | 2.123611 | 2.009215 |
| 2024-03-06 18:00:00 | 2024-03-07 00:00:00 | 3836.67 | 3892.58 | 3792.70 | 3818.58 | 126076.49 | 1.992273 | 1.797728 | 2.297109 | 1.672840 |
| 2024-03-07 00:00:00 | 2024-03-07 06:00:00 | 3822.71 | 3852.69 | 3742.51 | 3753.98 | 137662.79 | 1.741340 | 1.461345 | 1.769816 | 1.205331 |
| 2024-03-07 06:00:00 | 2024-03-07 12:00:00 | 3753.05 | 3814.92 | 3735.00 | 3787.58 | 109037.48 | 1.243132 | 1.185521 | 1.596921 | 1.335255 |
| 2024-03-07 12:00:00 | 2024-03-07 18:00:00 | 3787.41 | 3872.60 | 3765.12 | 3858.61 | 158324.09 | 1.373910 | 1.426057 | 1.665404 | 1.641422 |
| 2024-03-07 18:00:00 | 2024-03-08 00:00:00 | 3861.92 | 3933.81 | 3840.00 | 3868.76 | 135743.14 | 1.691978 | 1.645580 | 1.949044 | 1.590128 |
| 2024-03-08 00:00:00 | 2024-03-08 06:00:00 | 3868.75 | 3940.60 | 3863.56 | 3888.07 | 99459.34 | 1.619767 | 1.577654 | 1.914794 | 1.592815 |
| 2024-03-08 06:00:00 | 2024-03-08 12:00:00 | 3889.34 | 3954.98 | 3883.59 | 3950.46 | 122923.55 | 1.626513 | 1.555686 | 1.870477 | 1.795355 |
| 2024-03-08 12:00:00 | 2024-03-08 18:00:00 | 3953.00 | 3993.75 | 3820.00 | 3942.38 | 302699.17 | 1.829493 | 1.644745 | 1.447240 | 1.644575 |
| 2024-03-08 18:00:00 | 2024-03-09 00:00:00 | 3945.00 | 3950.85 | 3871.28 | 3883.37 | 121247.03 | 1.677816 | 1.367452 | 1.619767 | 1.285215 |
| 2024-03-09 00:00:00 | 2024-03-09 06:00:00 | 3886.04 | 3931.39 | 3877.50 | 3918.40 | 59109.32 | 1.321245 | 1.223833 | 1.563358 | 1.395887 |
| 2024-03-09 06:00:00 | 2024-03-09 12:00:00 | 3918.51 | 3942.00 | 3887.99 | 3912.50 | 68143.10 | 1.416173 | 1.227038 | 1.534499 | 1.310705 |
| 2024-03-09 12:00:00 | 2024-03-09 18:00:00 | 3910.05 | 3927.05 | 3870.01 | 3883.07 | 78709.83 | 1.319713 | 1.117908 | 1.384192 | 1.127190 |
| 2024-03-09 18:00:00 | 2024-03-10 00:00:00 | 3881.98 | 3912.68 | 3878.02 | 3905.20 | 48880.09 | 1.144942 | 1.019434 | 1.365381 | 1.193446 |
| 2024-03-10 00:00:00 | 2024-03-10 06:00:00 | 3908.92 | 3950.00 | 3899.51 | 3938.83 | 76341.54 | 1.230868 | 1.158191 | 1.408136 | 1.306761 |
